Name,Released year,Genre,Director,Runtime,Score,Status,Language,Budget,Revenue
"Miraculous: Ladybug & Cat Noir, The Movie",2023,"['Animation', 'Family', 'Fantasy', 'Action', 'Romance', 'Music']",Jeremy Zag,1h 47m,78.0,Released,French,"$86,000,000.00","$39,357,124.00"
Nowhere,2023,"['Thriller', 'Drama']",Indiana Lista,1h 49m,75.0,Released,Spanish; Castilian,-,-
Ant-Man and the Wasp: Quantumania,2023,"['Action', 'Adventure', 'Science Fiction']",Stan Lee,2h 5m,64.0,Released,English,"$200,000,000.00","$476,071,180.00"
Cobweb,2023,['Horror'],Samuel Bodin,1h 28m,68.0,Released,English,-,"$5,569,593.00"
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,"['Animation', 'Comedy', 'Action', 'Science Fiction']",Jeff Rowe,1h 40m,73.0,Released,English,"$75,000,000.00","$180,000,000.00"
Rascal Does Not Dream of a Sister Venturing Out,2023,"['Animation', 'Drama']",Souichi Masui,1h 14m,85.0,Released,Japanese,-,-
Black Panther: Wakanda Forever,2022,"['Action', 'Adventure', 'Science Fiction']",Ryan Coogler,2h 42m,72.0,Released,English,"$250,000,000.00","$859,102,154.00"
Thriller Night,2011,['Animation'],Sean Bishop,6m,69.0,Released,English,-,-
The Hunger Games: Mockingjay - Part 2,2015,"['Action', 'Adventure', 'Science Fiction']",Francis Lawrence,2h 17m,69.0,Released,English,"$160,000,000.00","$653,428,261.00"
Thor: Love and Thunder,2022,"['Fantasy', 'Action', 'Comedy']",Taika Waititi,1h 59m,65.0,Released,English,"$250,000,000.00","$760,928,081.00"
Creed III,2023,"['Drama', 'Action']",Zach Baylin,1h 56m,72.0,Released,English,"$75,000,000.00","$275,248,615.00"
Doctor Strange in the Multiverse of Madness,2022,"['Fantasy', 'Action', 'Adventure']",Stan Lee,2h 6m,73.0,Released,English,"$200,000,000.00","$955,775,804.00"
57 Seconds,2023,"['Thriller', 'Science Fiction', 'Action']",Rusty Cundieff,1h 39m,58.0,Released,English,-,-
Black Butler: Book of Murder,2014,"['Mystery', 'Animation', 'Adventure']",Noriyuki Abe,1h 56m,81.0,Released,Japanese,-,-
Rally Road Racers,2023,"['Animation', 'Family', 'Comedy']",Ross Venokur,1h 32m,74.0,Released,English,-,-
Interstellar,2014,"['Adventure', 'Drama', 'Science Fiction']",Christopher Nolan,2h 49m,84.0,Released,English,"$165,000,000.00","$701,729,206.00"
Godzilla,2014,"['Action', 'Drama', 'Science Fiction']",Gareth Edwards,2h 3m,63.0,Released,English,"$160,000,000.00","$529,100,000.00"
Radical,2023,['Drama'],Christopher Zalla,2h 7m,76.0,Released,English,"$10,000,000.00","$19,900,000.00"
The Mongolian Connection,2019,['Action'],Drew Thomas,1h 38m,65.0,Released,English,-,-
Harry Potter and the Deathly Hallows: Part 1,2010,"['Adventure', 'Fantasy']",David Yates,2h 26m,78.0,Released,English,"$250,000,000.00","$954,305,868.00"
The Night Crew,2015,"['Thriller', 'Action', 'Mystery']",Christian Sesma,1h 29m,53.0,Released,English,"$3,000,000.00",-
Mount Adams,2021,"['Action', 'Adventure', 'Science Fiction']",Phillip Wade,1h 34m,0.0,Released,English,-,-
It's a Wonderful Knife,2023,"['Horror', 'Thriller', 'Comedy']",Tyler MacIntyre,1h 27m,52.0,Released,English,-,"$826,000.00"
Harry Potter and the Half-Blood Prince,2009,"['Adventure', 'Fantasy']",David Yates,2h 33m,77.0,Released,English,"$250,000,000.00","$933,959,197.00"
Boudica,2023,"['Action', 'War']",Jesse V. Johnson,1h 41m,60.0,Released,English,-,-
Ernest & Celestine: A Trip to Gibberitia,2022,"['Animation', 'Family']",Gabrielle Vincent,1h 20m,70.0,Released,French,-,-
The Godfather,1972,"['Drama', 'Crime']",Francis Ford Coppola,2h 55m,87.0,Released,English,"$6,000,000.00","$245,066,411.00"
Sonic the Hedgehog 2,2022,"['Action', 'Adventure', 'Family', 'Comedy']",Josh Miller,2h 3m,76.0,Released,English,"$110,000,000.00","$405,421,518.00"
Inside Out,2015,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']",Pete Docter,1h 35m,79.0,Released,English,"$175,000,000.00","$857,611,174.00"
The Wandering Earth II,2023,"['Science Fiction', 'Action', 'Drama']",Frant Gwo,2h 53m,72.0,Released,Chinese,"$73,801,827.00","$604,380,922.00"
The Shepherd,2023,"['Drama', 'Fantasy']",Iain Softley,39m,68.0,Released,English,-,-
The Polar Express,2004,"['Animation', 'Adventure', 'Family', 'Fantasy']",Robert Zemeckis,1h 40m,67.0,Released,English,"$165,000,000.00","$310,634,054.00"
xXx: Return of Xander Cage,2017,"['Action', 'Adventure', 'Crime']",Rich Wilkes,1h 47m,61.0,Released,English,"$85,000,000.00","$346,147,658.00"
"Monsters, Inc.",2001,"['Animation', 'Comedy', 'Family']",Pete Docter,1h 32m,78.0,Released,English,"$115,000,000.00","$579,707,738.00"
Harry Potter and the Order of the Phoenix,2007,"['Adventure', 'Fantasy']",David Yates,2h 18m,77.0,Released,English,"$150,000,000.00","$938,212,738.00"
Avatar,2009,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",James Cameron,2h 42m,76.0,Released,English,"$237,000,000.00","$2,923,706,026.00"
Encanto,2021,"['Animation', 'Comedy', 'Family', 'Fantasy']",Jared Bush,1h 42m,76.0,Released,English,"$50,000,000.00","$253,000,000.00"
Incredibles 2,2018,"['Action', 'Adventure', 'Animation', 'Family']",Brad Bird,1h 58m,75.0,Released,English,"$200,000,000.00","$1,242,805,359.00"
Harry Potter and the Prisoner of Azkaban,2004,"['Adventure', 'Fantasy']",Alfonso Cuarón,2h 21m,80.0,Released,English,"$130,000,000.00","$789,804,554.00"
Avengers: Endgame,2019,"['Adventure', 'Science Fiction', 'Action']",Keith Giffen,3h 1m,83.0,Released,English,"$356,000,000.00","$2,800,000,000.00"
Glass Onion: A Knives Out Mystery,2022,"['Comedy', 'Crime', 'Mystery']",Rian Johnson,2h 20m,71.0,Released,English,"$40,000,000.00","$13,280,000.00"
Dashing Through the Snow,2023,"['Fantasy', 'Family', 'Comedy']",Tim Story,1h 31m,68.0,Released,English,-,-
Mad Max: Fury Road,2015,"['Action', 'Adventure', 'Science Fiction']",George Miller,2h 1m,76.0,Released,English,"$150,000,000.00","$378,858,340.00"
Guy Ritchie's The Covenant,2023,"['War', 'Action', 'Thriller']",Guy Ritchie,2h 3m,78.0,Released,English,"$55,000,000.00","$20,000,000.00"
Carl's Date,2023,"['Animation', 'Adventure', 'Family']",Bob Peterson,9m,76.0,Released,English,-,-
The School of Magical Animals 2,2022,"['Family', 'Adventure']",Sven Unterwaldt Jr.,1h 43m,60.0,Released,German,-,-
The Batman,2022,"['Crime', 'Mystery', 'Thriller']",Matt Reeves,2h 57m,77.0,Released,English,"$185,000,000.00","$771,000,000.00"
