Name,Released year,Genre,Director,Runtime,Score,Status,Language,Budget,Revenue
We Can Be Heroes,2020,"['Family', 'Action', 'Fantasy', 'Comedy']",Robert Rodriguez,1h 37m,61.0,Released,English,-,-
The Man from Toronto,2022,"['Action', 'Adventure', 'Comedy']",Robbie Fox,1h 53m,65.0,Released,English,"$75,000,000.00",-
The Accidental Husband,2008,"['Comedy', 'Romance']",Clare Naylor,1h 30m,55.0,Released,English,-,"$22,707,064.00"
Multiplicity,1996,"['Comedy', 'Fantasy', 'Science Fiction', 'Romance']",Harold Ramis,1h 57m,57.0,Released,English,"$45,000,000.00","$21,075,014.00"
How the Gringo Stole Christmas,2023,['Comedy'],Angel Gracia,1h 21m,67.0,Released,English,-,-
I Want to Eat Your Pancreas,2018,"['Animation', 'Drama', 'Romance']",Shinichiro Ushijima,1h 48m,82.0,Released,Japanese,-,"$33,748,006.00"
The Guilty,2021,"['Drama', 'Thriller']",Antoine Fuqua,1h 31m,64.0,Released,English,-,-
Lady in the Water,2006,"['Drama', 'Fantasy', 'Mystery']",M. Night Shyamalan,1h 50m,55.0,Released,English,"$70,000,000.00","$72,785,169.00"
Madea's Witness Protection,2012,"['Drama', 'Comedy', 'Crime']",Tyler Perry,1h 54m,61.0,Released,English,"$20,000,000.00","$66,900,000.00"
Kick-Ass 2,2013,"['Action', 'Adventure', 'Crime']",Jeff Wadlow,1h 43m,64.0,Released,English,"$28,000,000.00","$60,700,000.00"
Fantasia,1940,"['Animation', 'Family', 'Fantasy']",Paul Satterfield,2h 4m,74.0,Released,English,"$2,280,000.00","$76,411,819.00"
Ghost in the Shell: Stand Alone Complex – Solid State Society,2006,"['Animation', 'Action', 'Thriller', 'Crime', 'Science Fiction']",Kenji Kamiyama,1h 45m,74.0,Released,Japanese,"$3,200,000.00",-
Carol,2015,"['Romance', 'Drama']",Todd Haynes,1h 58m,75.0,Released,English,"$11,800,000.00","$40,272,135.00"
Gladiator,1992,"['Action', 'Drama']",Robert Mark Kamen,1h 41m,76.0,Released,English,-,"$900,000.00"
Sliver,1993,"['Drama', 'Thriller']",Phillip Noyce,1h 48m,55.0,Released,English,"$40,000,000.00","$116,300,000.00"
Willow,1988,"['Action', 'Adventure', 'Fantasy']",Ron Howard,2h 6m,70.0,Released,English,"$35,000,000.00","$57,269,863.00"
District 9,2009,['Science Fiction'],Neill Blomkamp,1h 52m,74.0,Released,English,"$30,000,000.00","$210,800,000.00"
Portrait of a Lady on Fire,2019,"['Drama', 'Romance']",Céline Sciamma,2h,82.0,Released,French,"$5,740,000.00","$9,923,127.00"
Scoob!,2020,"['Animation', 'Comedy', 'Family', 'Mystery']",Matt Lieberman,1h 33m,71.0,Released,English,"$90,000,000.00","$28,588,425.00"
Piglet's Big Movie,2003,"['Animation', 'Family']",Francis Glebas,1h 15m,67.0,Released,English,"$46,000,000.00","$62,870,546.00"
"I, Frankenstein",2014,"['Horror', 'Thriller']",Stuart Beattie,1h 32m,53.0,Released,English,"$65,000,000.00","$76,801,179.00"
Us,2019,"['Horror', 'Thriller', 'Mystery']",Jordan Peele,1h 56m,70.0,Released,English,"$20,000,000.00","$256,067,149.00"
Paradise City,2022,"['Action', 'Crime', 'Thriller']",Chuck Russell,1h 33m,57.0,Released,English,"$20,000,000.00",-
Spy Kids: All the Time in the World,2011,"['Family', 'Comedy', 'Action']",Robert Rodriguez,1h 29m,47.0,Released,English,"$27,000,000.00","$85,600,000.00"
Freaky Friday,2003,"['Comedy', 'Family', 'Fantasy']",Mark Waters,1h 37m,65.0,Released,English,"$26,000,000.00","$160,846,332.00"
Tomorrow Never Dies,1997,"['Adventure', 'Action', 'Thriller']",Ian Fleming,1h 59m,64.0,Released,English,"$110,000,000.00","$333,011,068.00"
Dumb and Dumber,1994,['Comedy'],Peter Farrelly,1h 47m,66.0,Released,English,"$16,000,000.00","$247,275,374.00"
Stop! Or My Mom Will Shoot,1992,"['Action', 'Comedy']",Roger Spottiswoode,1h 27m,53.0,Released,English,-,"$70,611,210.00"
The Passenger,2022,"['Horror', 'Comedy', 'Science Fiction']",Raúl Cerezo,1h 31m,58.0,Released,Spanish; Castilian,-,-
Mechanic: Resurrection,2016,"['Action', 'Crime', 'Thriller']",Philip Shelby,1h 38m,60.0,Released,English,"$40,000,000.00","$125,729,635.00"
Doctor Dolittle,1998,"['Comedy', 'Family', 'Fantasy']",Betty Thomas,1h 25m,57.0,Released,English,"$71,000,000.00","$294,500,000.00"
Emily the Criminal,2022,"['Crime', 'Drama', 'Thriller']",John Patton Ford,1h 37m,68.0,Released,English,"$2,000,000.00","$2,157,673.00"
Looney Tunes: Back in Action,2003,"['Animation', 'Comedy', 'Family']",Joe Dante,1h 33m,64.0,Released,English,"$80,000,000.00","$68,500,000.00"
Where the Crawdads Sing,2022,"['Drama', 'Mystery', 'Romance']",Olivia Newman,2h 6m,76.0,Released,English,"$24,000,000.00","$144,353,965.00"
The Shadow in My Eye,2021,"['War', 'Drama', 'History']",Ole Bornedal,1h 47m,78.0,Released,Danish,-,-
Inside Man,2006,"['Crime', 'Drama', 'Thriller']",Spike Lee,2h 9m,74.0,Released,English,"$45,000,000.00","$186,003,591.00"
Central Intelligence,2016,"['Action', 'Comedy', 'Crime', 'Mystery']",Rawson Marshall Thurber,1h 47m,64.0,Released,English,"$50,000,000.00","$216,972,543.00"
Stuck on You,2003,['Comedy'],Peter Farrelly,1h 59m,53.0,Released,English,"$55,000,000.00","$65,784,503.00"
Ouija: Origin of Evil,2016,['Horror'],Mike Flanagan,1h 39m,61.0,Released,English,"$9,000,000.00","$81,700,000.00"
Hereafter,2010,"['Drama', 'Fantasy']",Clint Eastwood,2h 9m,61.0,Released,English,"$50,000,000.00","$106,956,330.00"
Warriors of Future,2022,"['Drama', 'Action', 'Science Fiction']",Ng Yuen-fai,1h 41m,72.0,Released,Chinese,-,"$100,730,000.00"
Hacker,2016,"['Crime', 'Drama', 'Thriller']",Akan Satayev,1h 35m,63.0,Released,English,"$2,000,000.00","$11,239.00"
Tinker Bell,2008,"['Animation', 'Family', 'Adventure', 'Fantasy']",Bradley Raymond,1h 18m,68.0,Released,English,"$48,000,000.00",-
Wasabi,2001,"['Drama', 'Action', 'Comedy']",Gérard Krawczyk,1h 34m,66.0,Released,French,"$15,300,000.00","$10,366,360.00"
