Name,Released year,Genre,Director,Runtime (h),Score,Status,Language,Budget ($),Revenue ($)
It's a Wonderful Knife,2023,"'Horror', 'Thriller', 'Comedy'",Tyler MacIntyre,1.45,52.0,Released,English,,826000.0
Harry Potter and the Half-Blood Prince,2009,"'Adventure', 'Fantasy'",David Yates,2.55,77.0,Released,English,250000000.0,933959197.0
Boudica,2023,"'Action', 'War'",Jesse V. Johnson,1.6800000000000002,60.0,Released,English,,
Ernest & Celestine: A Trip to Gibberitia,2022,"'Animation', 'Family'",Gabrielle Vincent,1.33,70.0,Released,French,,
The Godfather,1972,"'Drama', 'Crime'",Francis Ford Coppola,2.92,87.0,Released,English,6000000.0,245066411.0
Sonic the Hedgehog 2,2022,"'Action', 'Adventure', 'Family', 'Comedy'",Josh Miller,2.05,76.0,Released,English,110000000.0,405421518.0
Inside Out,2015,"'Animation', 'Family', 'Adventure', 'Drama', 'Comedy'",Pete Docter,1.58,79.0,Released,English,175000000.0,857611174.0
The Wandering Earth II,2023,"'Science Fiction', 'Action', 'Drama'",Frant Gwo,2.88,72.0,Released,Chinese,73801827.0,604380922.0
The Shepherd,2023,"'Drama', 'Fantasy'",Iain Softley,,68.0,Released,English,,
The Polar Express,2004,"'Animation', 'Adventure', 'Family', 'Fantasy'",Robert Zemeckis,1.67,67.0,Released,English,165000000.0,310634054.0
xXx: Return of Xander Cage,2017,"'Action', 'Adventure', 'Crime'",Rich Wilkes,1.78,61.0,Released,English,85000000.0,346147658.0
"Monsters, Inc.",2001,"'Animation', 'Comedy', 'Family'",Pete Docter,1.53,78.0,Released,English,115000000.0,579707738.0
Harry Potter and the Order of the Phoenix,2007,"'Adventure', 'Fantasy'",David Yates,2.3,77.0,Released,English,150000000.0,938212738.0
Avatar,2009,"'Action', 'Adventure', 'Fantasy', 'Science Fiction'",James Cameron,2.7,76.0,Released,English,237000000.0,2923706026.0
Encanto,2021,"'Animation', 'Comedy', 'Family', 'Fantasy'",Jared Bush,1.7,76.0,Released,English,50000000.0,253000000.0
Incredibles 2,2018,"'Action', 'Adventure', 'Animation', 'Family'",Brad Bird,1.97,75.0,Released,English,200000000.0,1242805359.0
Harry Potter and the Prisoner of Azkaban,2004,"'Adventure', 'Fantasy'",Alfonso Cuarón,2.35,80.0,Released,English,130000000.0,789804554.0
Avengers: Endgame,2019,"'Adventure', 'Science Fiction', 'Action'",Keith Giffen,3.02,83.0,Released,English,356000000.0,2800000000.0
Glass Onion: A Knives Out Mystery,2022,"'Comedy', 'Crime', 'Mystery'",Rian Johnson,2.33,71.0,Released,English,40000000.0,13280000.0
Dashing Through the Snow,2023,"'Fantasy', 'Family', 'Comedy'",Tim Story,1.52,68.0,Released,English,,
Mad Max: Fury Road,2015,"'Action', 'Adventure', 'Science Fiction'",George Miller,2.02,76.0,Released,English,150000000.0,378858340.0
Guy Ritchie's The Covenant,2023,"'War', 'Action', 'Thriller'",Guy Ritchie,2.05,78.0,Released,English,55000000.0,20000000.0
Carl's Date,2023,"'Animation', 'Adventure', 'Family'",Bob Peterson,,76.0,Released,English,,
The School of Magical Animals 2,2022,"'Family', 'Adventure'",Sven Unterwaldt Jr.,1.72,60.0,Released,German,,
The Batman,2022,"'Crime', 'Mystery', 'Thriller'",Matt Reeves,2.95,77.0,Released,English,185000000.0,771000000.0
Hard Days,2023,"'Thriller', 'Crime', 'Action', 'Drama'",Michihito Fujii,1.97,66.0,Released,Japanese,,
Jimmy Timmy Power Hour,2004,"'Animation', 'Comedy', 'Family', 'Fantasy', 'TV Movie', 'Science Fiction'",Butch Hartman,,71.0,Released,English,,
Shrek,2001,"'Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family'",Andrew Adamson,1.5,77.0,Released,English,60000000.0,487900000.0
Animal,2023,"'Action', 'Crime', 'Drama'",Sandeep Reddy Vanga,3.35,73.0,Released,Hindi,13000000.0,83000000.0
The Hobbit: The Battle of the Five Armies,2014,"'Action', 'Adventure', 'Fantasy'",Peter Jackson,2.4,73.0,Released,English,250000000.0,956019788.0
172 Days,2023,"'Drama', 'Romance'",Hadrah Daeng Ratu,1.72,60.0,Released,Indonesian,,
The Mercator Trail,2022,"'Adventure', 'Family'",Douglas Boswell,1.55,60.0,Released,Dutch; Flemish,,
Night Train,2023,"'Action', 'Thriller', 'Crime'",Shane Stanley,1.6,63.0,Released,English,,
Harry Potter and the Deathly Hallows: Part 2,2011,"'Fantasy', 'Adventure'",David Yates,2.17,81.0,Released,English,125000000.0,1341511219.0
The Last Voyage of the Demeter,2023,"'Thriller', 'Horror'",André Øvredal,1.98,71.0,Released,English,45000000.0,21600000.0
Mortal Kombat Legends: Cage Match,2023,"'Animation', 'Action', 'Fantasy'",Ethan Spaulding,1.33,70.0,Released,English,,
The Equalizer,2014,"'Thriller', 'Action', 'Crime'",Antoine Fuqua,2.2,73.0,Released,English,55000000.0,192330738.0
Minions: The Rise of Gru,2022,"'Animation', 'Comedy', 'Family'",Matthew Fogel,1.45,74.0,Released,English,85000000.0,940000000.0
Balkan Line,2019,"'Drama', 'Action', 'War'",Andrey Volgin,2.17,76.0,Released,Russian,3500000.0,4944386.0
Titanic,1997,"'Drama', 'Romance'",James Cameron,3.23,79.0,Released,English,200000000.0,2264162353.0
The Lord of the Rings: The Fellowship of the Ring,2001,"'Adventure', 'Fantasy', 'Action'",Peter Jackson,2.98,84.0,Released,English,93000000.0,871368364.0
The Nightmare Before Christmas,1993,"'Fantasy', 'Animation', 'Family'",Tim Burton,1.27,78.0,Released,English,24000000.0,75634409.0
One Piece Film Red,2022,"'Animation', 'Adventure', 'Action', 'Fantasy'",Goro Taniguchi,1.92,73.0,Released,Japanese,,150797338.0
Fast & Furious Presents: Hobbs & Shaw,2019,"'Action', 'Adventure', 'Comedy'",Chris Morgan,2.2800000000000002,69.0,Released,English,200000000.0,760098996.0
National Lampoon's Christmas Vacation,1989,'Comedy',Jeremiah S. Chechik,1.62,72.0,Released,English,27000000.0,71319546.0
Inception,2010,"'Action', 'Science Fiction', 'Adventure'",Christopher Nolan,2.4699999999999998,84.0,Released,English,160000000.0,825532764.0
Shazam! Fury of the Gods,2023,"'Comedy', 'Action', 'Fantasy'",C.C. Beck,2.17,66.0,Released,English,125000000.0,133838006.0
"Ruby Gillman, Teenage Kraken",2023,"'Animation', 'Family', 'Fantasy', 'Comedy'",Kirk DeMicco,1.52,74.0,Released,English,70000000.0,43700000.0
The Avengers,2012,"'Science Fiction', 'Action', 'Adventure'",Joss Whedon,2.38,77.0,Released,English,220000000.0,1518815515.0
Good Boy,2022,"'Horror', 'Thriller'",Viljar Bøe,1.25,68.0,Released,Norwegian,8500.0,
Migration,2023,"'Animation', 'Comedy', 'Adventure', 'Family'",Benjamin Renner,1.38,77.0,Released,English,,
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"'Adventure', 'Fantasy', 'Action'",Gore Verbinski,2.38,78.0,Released,English,140000000.0,655011224.0
Around the World in 80 Days,2021,"'Animation', 'Family'",Samuel Tourneux,1.37,54.0,Released,French,20000000.0,
Garfield,2004,"'Animation', 'Comedy', 'Family'",Peter Hewitt,1.33,57.0,Released,English,50000000.0,200804534.0
Renegades,2022,"'Action', 'Crime', 'Thriller'",Daniel Zirilli,1.52,51.0,Released,English,4000000.0,
Shang-Chi and the Legend of the Ten Rings,2021,"'Action', 'Adventure', 'Fantasy'",Destin Daniel Cretton,2.2,76.0,Released,English,150000000.0,432243292.0
Casper Meets Wendy,1998,"'Family', 'Fantasy', 'TV Movie'",Jymn Magon,1.5,60.0,Released,English,,
The Lion King,2019,"'Adventure', 'Drama', 'Family', 'Animation'",Linda Woolverton,1.97,71.0,Released,English,260000000.0,1663000000.0
Sisu,2023,"'Action', 'War'",Jalmari Helander,1.52,75.0,Released,Finnish,6200000.0,13009289.0
Spider-Man: Into the Spider-Verse,2018,"'Action', 'Adventure', 'Animation', 'Science Fiction'",Rodney Rothman,1.95,84.0,Released,English,90000000.0,375464627.0
The Shawshank Redemption,1994,"'Drama', 'Crime'",Frank Darabont,2.37,87.0,Released,English,25000000.0,28341469.0
The Hunger Games: Catching Fire,2013,"'Adventure', 'Action', 'Science Fiction'",Francis Lawrence,2.43,74.0,Released,English,130000000.0,865011746.0
Meteor Storm,2010,"'Science Fiction', 'Adventure', 'TV Movie'",Tibor Takács,1.5,46.0,Released,English,,
Blade Runner 2049,2017,"'Science Fiction', 'Drama'",Hampton Fancher,2.73,76.0,Released,English,150000000.0,259239658.0
Gunfight at Rio Bravo,2023,"'Western', 'Action'",Joe Cornet,1.33,45.0,Released,English,,
Kandahar,2023,"'Action', 'Thriller'",Ric Roman Waugh,1.98,69.0,Released,English,,3000000.0
Bullet Train,2022,"'Action', 'Comedy', 'Thriller'",David Leitch,2.12,75.0,Released,English,90000000.0,239268602.0
The Proposal,2009,"'Comedy', 'Romance', 'Drama'",Anne Fletcher,1.8,71.0,Released,English,40000000.0,317375031.0
Zack Snyder's Justice League,2021,"'Action', 'Adventure', 'Fantasy'",Zack Snyder,4.03,82.0,Released,English,70000000.0,
Knights of the Zodiac,2023,"'Fantasy', 'Action', 'Adventure'",Tomek Baginski,1.88,66.0,Released,English,60000000.0,6794519.0
Pet Sematary: Bloodlines,2023,'Horror',Lindsey Anderson Beer,1.45,61.0,Released,English,,
The Swordsman,2020,"'Action', 'Drama', 'History'",Choi Jae-hoon,1.6800000000000002,76.0,Released,Korean,,1516150.0
Dungeons & Dragons: Honor Among Thieves,2023,"'Adventure', 'Fantasy', 'Comedy'",John Francis Daley,2.23,74.0,Released,English,151000000.0,208177026.0
Iron Man 2,2010,"'Adventure', 'Action', 'Science Fiction'",Jon Favreau,2.07,68.0,Released,English,200000000.0,623933331.0
Cyst,2020,"'Horror', 'Science Fiction', 'Comedy'",Tyler Russell,1.13,45.0,Released,English,,
The Maze Runner,2014,"'Action', 'Mystery', 'Science Fiction', 'Thriller'",Wes Ball,1.88,72.0,Released,English,34000000.0,348319861.0
Fantastic Beasts: The Secrets of Dumbledore,2022,"'Fantasy', 'Adventure', 'Family'",David Yates,2.37,67.0,Released,English,200000000.0,406950844.0
The Dark Knight,2008,"'Drama', 'Action', 'Crime', 'Thriller'",Christopher Nolan,2.5300000000000002,85.0,Released,English,185000000.0,1004558444.0
The Collective,2023,"'Action', 'Thriller'",Tom DeNucci,1.43,55.0,Released,English,,
Frozen,2013,"'Animation', 'Family', 'Adventure', 'Fantasy'",Jennifer Lee,1.7,72.0,Released,English,150000000.0,1274219009.0
Thick as Thieves,2009,"'Action', 'Thriller', 'Crime'",Mimi Leder,1.73,60.0,Released,English,25000000.0,
Ghosted,2023,"'Action', 'Comedy', 'Romance'",Dexter Fletcher,1.95,70.0,Released,English,,
